,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
238,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,52,50,6088,17915,1223
239,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,45,43,6088,17915,1223
240,Escola Pau Casals (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,39,38,6079,17142,1088
241,Escola Pau Casals (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,42,40,6077,15909,1192
242,Escola Pau Casals (Gràcia),8037,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,46,44,6065,18767,1199
243,Escola Pau Casals (Gràcia),8012,Gràcia,la Vila de Gràcia,tràfic,37,36,6059,16498,1529
244,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,fons,38,37,6088,17915,1223
245,Escola Pau Casals (Gràcia),8024,Gràcia,la Salut,fons,31,30,6022,17058,1355
246,Escola Pau Casals (Gràcia),8024,Gràcia,la Salut,tràfic,57,55,6026,17723,1039
247,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,57,55,6029,17353,1268
248,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,48,46,6032,16509,1173
249,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,fons,36,35,6031,16811,1092
250,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,40,38,6030,15083,1340
251,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,45,43,6082,17857,2002
252,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,39,38,6062,14794,1288
253,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,41,39,6063,14963,1533
254,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,35,34,6063,14963,1533
255,Escola Pau Casals (Gràcia),8012,Gràcia,la Vila de Gràcia,tràfic,36,35,6060,14756,1754
256,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,fons,35,34,6063,14963,1533
257,Escola Pau Casals (Gràcia),8024,Gràcia,la Salut,tràfic,45,43,6024,16907,1670
258,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,41,39,6087,20606,1857
259,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,37,36,6085,18340,1240
260,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,49,47,6084,16919,1496
261,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,39,38,6085,18340,1240
262,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,45,43,6086,20922,1016
263,Escola Pau Casals (Gràcia),8024,Gràcia,la Salut,tràfic,62,60,6025,18589,1429
264,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,59,57,2048,15157,1277
265,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,47,45,2047,16025,1914
266,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,64,62,2046,14398,1905
267,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,50,48,2039,15339,1749
268,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,61,59,2038,17947,1584
269,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,53,51,6073,16600,1350
270,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,46,44,2049,14250,2119
271,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,61,59,2049,14250,2119
272,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,fons,46,44,2049,14250,2119
273,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,tràfic,85,82,2026,15845,2131
274,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,fons,44,42,2025,14286,1168
275,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,tràfic,50,48,2024,15027,1089
276,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,tràfic,52,50,2050,15316,1647
277,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,tràfic,46,44,2052,16228,1787
278,Escola Sagrada Família (Gràcia),8013,Eixample,la Sagrada Família,fons,40,38,2052,16228,1787
279,Escola Sagrada Família (Gràcia),8025,Eixample,la Dreta de l'Eixample,tràfic,46,44,2056,17141,1457
280,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,47,45,2054,16703,1874
281,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,fons,44,42,6072,18962,1608
282,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,42,40,6072,18962,1608
283,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,pati,40,38,6072,18962,1608
284,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,pati,45,43,6072,18962,1608
285,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,aula,32,31,6072,18962,1608
286,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,aula,30,29,6072,18962,1608
287,Escola Sagrada Família (Gràcia),8037,Eixample,la Dreta de l'Eixample,tràfic,52,50,2057,21575,1306
288,Escola Sagrada Família (Gràcia),8037,Eixample,la Dreta de l'Eixample,tràfic,61,59,2055,17667,1843
289,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,52,50,6069,18206,1085
290,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,42,40,6070,16787,1851
291,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,fons,37,36,6071,16860,1074
292,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,48,46,6076,17555,1328
293,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,66,63,6076,17555,1328
294,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,55,53,6077,15909,1192
295,Escola Sagrada Família (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,45,43,6074,15572,1098
296,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,fons,41,39,2042,18915,1630
297,Escola Sagrada Família (Gràcia),8025,Eixample,la Sagrada Família,tràfic,63,61,2042,18915,1630
298,Escola Sagrada Família (Gràcia),8025,Horta-Guinardó,el Baix Guinardó,tràfic,76,73,7005,14704,1476
299,Escola Sagrada Família (Gràcia),8025,Horta-Guinardó,el Baix Guinardó,fons,38,37,7006,16675,947
300,Escola Sagrada Família (Gràcia),8025,Horta-Guinardó,el Baix Guinardó,tràfic,38,37,7006,16675,947
301,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,aula,37,36,2148,17352,1608
302,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,pati,42,40,2148,17352,1608
303,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,65,63,2148,17352,1608
304,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,53,51,2147,15533,2172
305,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,53,51,2149,16679,1835
306,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,86,83,2150,15236,1481
307,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,fons,46,44,2146,17166,1164
308,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,58,56,2159,16496,1890
309,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,fons,42,40,2158,16512,1665
310,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,51,49,2161,16392,1113
311,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,89,86,2160,18153,1994
312,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,54,52,2159,16496,1890
313,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,45,43,2158,16512,1665
314,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,60,58,2144,17890,1572
315,Escola Joan Miró (L'Eixample),8011,Eixample,l'Antiga Esquerra de l'Eixample,tràfic,73,70,2094,19958,1425
316,Escola Joan Miró (L'Eixample),8011,Eixample,l'Antiga Esquerra de l'Eixample,tràfic,87,84,2097,16521,1080
317,Escola Joan Miró (L'Eixample),8015,Eixample,l'Antiga Esquerra de l'Eixample,tràfic,68,65,2095,18301,1507
318,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,67,64,2140,17368,1917
319,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,64,62,2142,14657,1971
320,Escola Joan Miró (L'Eixample),8011,Eixample,l'Antiga Esquerra de l'Eixample,fons,69,66,2094,19958,1425
321,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,68,65,2153,19013,1343
322,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,67,64,2155,14604,1887
323,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,72,69,2168,16000,2191
324,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,70,67,2173,15582,1555
325,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,tràfic,61,59,2155,14604,1887
326,Escola Joan Miró (L'Eixample),8015,Eixample,Sant Antoni,fons,71,68,2173,15582,1555
327,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,96,92,2135,15207,2112
328,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,66,63,2131,16436,1212
329,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,66,63,2131,16436,1212
330,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,51,49,2148,17352,1608
331,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,62,60,2136,17982,913
332,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,55,53,2133,18569,878
333,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,fons,38,37,2148,17352,1608
334,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,49,47,2140,17368,1917
335,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,50,48,2140,17368,1917
336,Escola Joan Miró (L'Eixample),8015,Eixample,la Nova Esquerra de l'Eixample,tràfic,48,46,2135,15207,2112
337,Escola Joan Miró (L'Eixample),8029,Eixample,la Nova Esquerra de l'Eixample,tràfic,87,84,2120,17454,1192
338,Escola Joan Miró (L'Eixample),8029,Eixample,la Nova Esquerra de l'Eixample,tràfic,46,44,2120,17454,1192
339,Escola Joan Miró (L'Eixample),8029,Eixample,la Nova Esquerra de l'Eixample,tràfic,44,42,2128,15964,1303
340,Escola Joan Miró (L'Eixample),8029,Eixample,la Nova Esquerra de l'Eixample,tràfic,54,52,2129,18583,1511
341,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,50,48,2002,15377,2599
342,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,52,50,2003,18333,1263
343,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,aula,38,37,2003,18333,1263
344,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,fons,40,38,2003,18333,1263
345,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,57,55,2003,18333,1263
346,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,62,60,2003,18333,1263
347,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,61,59,2012,14271,1551
348,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,fons,45,43,2003,18333,1263
349,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,66,63,2009,16521,1771
350,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,51,49,2013,14346,1151
351,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,59,57,2013,14346,1151
352,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,66,63,2013,14346,1151
353,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,44,42,2011,18279,1093
354,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,66,63,2010,16014,1194
355,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,51,49,2009,16521,1771
356,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,43,41,2009,16521,1771
357,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,57,55,2009,16521,1771
358,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,56,54,2008,17398,1852
359,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,57,55,2016,17476,1872
360,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,53,51,2008,17398,1852
361,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,46,44,2002,15377,2599
362,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,fons,44,42,2002,15377,2599
363,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,57,55,2007,19053,1281
364,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,58,56,2008,17398,1852
365,Escola Fort Pienc (L'Eixample),8013,Eixample,la Dreta de l'Eixample,tràfic,65,63,2068,16980,1624
366,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,fons,42,40,2009,16521,1771
367,Escola Fort Pienc (L'Eixample),8013,Eixample,la Dreta de l'Eixample,tràfic,53,51,2067,16563,1676
368,Escola Fort Pienc (L'Eixample),8018,Eixample,el Fort Pienc,fons,39,38,2001,15417,1315
369,Escola Fort Pienc (L'Eixample),8018,Eixample,el Fort Pienc,tràfic,45,43,2001,15417,1315
370,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,40,38,2008,17398,1852
371,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,43,41,2005,17904,2037
372,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,pati,40,38,2003,18333,1263
373,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,46,44,2001,15417,1315
374,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,53,51,2020,14801,1406
375,Escola Fort Pienc (L'Eixample),8013,Eixample,la Sagrada Família,tràfic,52,50,2021,15222,1497
376,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,49,47,2005,17904,2037
377,Escola Fort Pienc (L'Eixample),8013,Eixample,la Dreta de l'Eixample,tràfic,55,53,2067,16563,1676
378,Escola Fort Pienc (L'Eixample),8010,Eixample,el Fort Pienc,tràfic,46,44,2001,15417,1315
379,Escola Fort Pienc (L'Eixample),8013,Eixample,el Fort Pienc,tràfic,52,50,2001,15417,1315
380,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,aula,23,22,5005,25314,1227
381,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,pati,26,25,5005,25314,1227
382,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,45,43,5005,25314,1227
383,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,28,27,5005,25314,1227
384,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,50,48,5005,25314,1227
385,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,42,40,5005,25314,1227
386,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,44,42,5005,25314,1227
387,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,35,34,5004,30210,1123
388,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,65,63,5005,25314,1227
389,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,65,63,5007,25829,1732
390,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,62,60,5007,25829,1732
391,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,42,40,5004,30210,1123
392,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,40,38,5007,25829,1732
393,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,48,46,5008,26342,1644
394,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,59,57,5007,25829,1732
395,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,30,29,5007,25829,1732
396,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,41,39,5005,25314,1227
397,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,fons,29,28,5007,25829,1732
398,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,fons,35,34,5007,25829,1732
399,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,fons,31,30,5007,25829,1732
400,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,88,85,5006,30210,1752
401,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,fons,37,36,5009,22985,1723
402,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,52,50,5006,30210,1752
403,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,47,45,5006,30210,1752
404,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,37,36,5008,26342,1644
405,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,43,41,5008,26342,1644
406,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,38,37,5008,26342,1644
407,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,40,38,5009,22985,1723
408,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,50,48,5009,22985,1723
409,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,tràfic,38,37,5009,22985,1723
410,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8034,Sarrià-Sant Gervasi,Sarrià,fons,30,29,5007,25829,1732
411,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,51,49,5007,25829,1732
412,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,47,45,5008,26342,1644
413,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,69,66,5008,26342,1644
414,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,62,60,5008,26342,1644
415,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,fons,27,26,5005,25314,1227
416,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,fons,31,30,5005,25314,1227
417,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,fons,65,63,5007,25829,1732
418,Escola Dolors Monserdà Santa Pau (Sarrià-Sant Gervasi),8017,Sarrià-Sant Gervasi,Sarrià,tràfic,55,53,5005,25314,1227
419,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,41,39,3030,13031,1623
420,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,43,41,3030,13031,1623
421,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,42,40,3030,13031,1623
422,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,39,38,3029,11155,1291
423,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,41,39,3027,13044,1782
424,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,45,43,3027,13044,1782
425,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,57,55,3029,11155,1291
426,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,57,55,3030,13031,1623
427,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,52,50,3030,13031,1623
428,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,43,41,3031,12162,2438
429,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,47,45,3031,12162,2438
430,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,45,43,3031,12162,2438
431,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,42,40,3032,10628,1646
432,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,42,40,3032,10628,1646
433,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,62,60,3033,9313,1423
434,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,60,58,3211,12937,1504
435,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,67,64,3211,12937,1504
436,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,aula,22,21,3034,12588,1506
437,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,pati,34,33,3028,14942,2568
438,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,41,39,3028,14942,2568
439,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,56,54,3030,13031,1623
440,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,46,44,3028,14942,2568
441,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,45,43,3029,11155,1291
442,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,42,40,3028,14942,2568
443,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,44,42,3028,14942,2568
444,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,49,47,3028,14942,2568
445,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,40,38,3028,14942,2568
446,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,59,57,3028,14942,2568
447,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,65,63,3212,11958,2454
448,Escola Seat (Sants-Montjuïc),8014,Sants-Montjuïc,la Marina de Port,tràfic,86,83,3036,13839,2371
449,Escola Seat (Sants-Montjuïc),8014,Sants-Montjuïc,la Marina de Port,tràfic,80,77,3036,13839,2371
450,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,44,42,3212,11958,2454
451,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,43,41,3212,11958,2454
452,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,49,47,3035,12801,2302
453,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,65,63,3037,13263,1069
454,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,tràfic,61,59,3033,9313,1423
455,Escola Seat (Sants-Montjuïc),8038,Sants-Montjuïc,la Marina de Port,fons,59,57,3211,12937,1504
456,Escola Coves d'en Cimany (Horta-Guinardó),8032,Horta-Guinardó,el Carmel,tràfic,34,33,7060,10803,1840
457,Escola Coves d'en Cimany (Horta-Guinardó),8032,Horta-Guinardó,el Carmel,tràfic,55,53,7068,9458,1293
458,Escola Coves d'en Cimany (Horta-Guinardó),8032,Horta-Guinardó,el Carmel,tràfic,52,50,7067,10215,1519
459,Escola Coves d'en Cimany (Horta-Guinardó),8032,Horta-Guinardó,el Carmel,tràfic,37,36,7064,11151,1640
460,Escola Coves d'en Cimany (Horta-Guinardó),8024,Horta-Guinardó,el Carmel,tràfic,35,34,7060,10803,1840
461,Escola Coves d'en Cimany (Horta-Guinardó),8024,Horta-Guinardó,el Carmel,tràfic,36,35,7060,10803,1840
462,Escola Coves d'en Cimany (Horta-Guinardó),8024,Horta-Guinardó,el Carmel,fons,39,38,7061,11669,1221
463,Escola Coves d'en Cimany (Horta-Guinardó),8032,Horta-Guinardó,el Carmel,tràfic,53,51,7066,9991,1805
