,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
56,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Parc i la Llacuna del Poblenou,tràfic,58,56,10042,12803,2649
57,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Parc i la Llacuna del Poblenou,tràfic,56,54,10042,12803,2649
58,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,fons,29,28,10061,17210,1816
59,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,44,42,10064,15899,1697
60,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,59,57,10066,15545,2142
61,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,tràfic,53,51,10067,20163,1950
62,Escola Sant Martí (Sant Martí),8018,Sant Martí,Provençals del Poblenou,tràfic,61,59,10098,14246,1856
63,Escola Sant Martí (Sant Martí),8018,Sant Martí,Provençals del Poblenou,tràfic,52,50,10097,16026,1586
64,Escola Sant Martí (Sant Martí),8018,Sant Martí,Provençals del Poblenou,tràfic,60,58,10100,12886,1600
65,Escola Sant Martí (Sant Martí),8018,Sant Martí,Provençals del Poblenou,fons,45,43,10096,16474,1625
66,Escola Sant Martí (Sant Martí),8018,Sant Martí,Provençals del Poblenou,fons,47,45,10098,14246,1856
67,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,61,59,10061,17210,1816
68,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,57,55,10057,13299,1404
69,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,fons,55,53,10059,15703,1722
70,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,48,46,10056,12820,1929
71,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,40,38,10056,12820,1929
72,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,43,41,10056,12820,1929
73,Escola Sant Martí (Sant Martí),8005,Sant Martí,la Vila Olímpica del Poblenou,fons,45,43,10055,24117,2590
74,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,47,45,10057,13299,1404
75,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,46,44,10058,13142,1163
